weather_severity,system_load,staffing_level,incident_type,delay_minutes,disruption,estimated_cost
2,Low,Low,Major,157,1,10003.55
3,High,Adequate,Major,163,1,10706.04
0,Medium,Adequate,None,112,0,6889.73
2,Medium,Adequate,Minor,85,1,8803.15
2,Low,Adequate,None,113,0,6244.51
3,High,Adequate,None,123,1,9608.56
0,Medium,Adequate,None,48,0,2992.44
0,Medium,Adequate,None,75,0,3378.53
2,High,Low,None,54,1,8927.01
1,High,Adequate,Minor,55,1,7875.52
2,Low,Adequate,None,94,0,4567.31
2,Medium,Adequate,Minor,43,1,7880.82
2,Low,Adequate,None,158,0,9378.43
2,High,Adequate,None,86,1,8455.71
3,Low,Adequate,None,83,0,5373.05
0,Medium,Adequate,None,150,0,7879.69
3,High,Adequate,None,155,1,12612.55
3,High,Adequate,None,15,1,7883.96
3,Medium,Low,None,164,1,16851.69
2,High,Adequate,None,148,1,12159.7
1,Low,Low,None,144,0,8826.06
0,High,Adequate,Major,36,1,5964.04
1,Low,Adequate,None,76,0,4221.51
3,Medium,Adequate,Minor,146,1,12955.68
3,High,Adequate,Minor,157,1,13439.84
1,Low,Adequate,Major,44,1,8453.69
1,Low,Adequate,Minor,145,0,10012.62
1,High,Adequate,None,61,0,3429.21
3,High,Adequate,Minor,163,1,12917.37
3,Medium,Low,Major,99,1,10448.56
0,Medium,Low,None,51,0,3070.62
0,Medium,Adequate,None,18,0,755.05
3,Low,Adequate,None,108,0,5828.95
1,Medium,Low,Minor,43,1,5075.92
1,Low,Low,Minor,6,1,6460.86
0,High,Low,None,171,1,13758.42
3,Medium,Adequate,None,116,1,14531.59
0,Medium,Low,None,67,0,3397.11
0,Medium,Adequate,None,33,0,1482.63
2,High,Low,Major,68,1,8536.79
2,Low,Adequate,None,54,0,3504.93
2,Medium,Low,None,9,1,7735.32
1,Medium,Low,None,41,1,5216.16
3,Medium,Adequate,Minor,40,1,10423.53
3,Low,Low,None,121,1,15611.69
3,High,Low,Minor,137,1,12018.03
3,High,Low,None,9,1,6088.62
2,Medium,Low,None,101,1,12555.06
1,Medium,Low,None,127,1,13168.45
1,High,Low,None,178,1,18524.51
2,High,Adequate,None,148,1,13094.72
1,Low,Adequate,Major,135,1,11102.4
2,Medium,Adequate,Minor,91,1,10373.19
3,Medium,Low,Major,112,1,10321.66
2,Medium,Adequate,None,77,0,3649.78
3,High,Adequate,Major,84,1,8041.53
3,High,Low,None,29,1,8820.04
0,High,Adequate,None,48,0,2722.44
2,Medium,Low,None,8,1,5468.65
0,Low,Low,None,144,0,6968.59
2,High,Adequate,Minor,68,1,8873.28
2,High,Adequate,None,57,1,6183.2
0,Low,Adequate,None,61,0,3197.01
0,High,Adequate,Minor,51,1,10195.96
2,High,Adequate,None,39,1,7578.95
1,Medium,Low,None,165,1,16956.75
3,Medium,Low,None,170,1,15461.08
0,Medium,Adequate,Minor,62,0,3406.63
3,Low,Adequate,Minor,146,1,12735.62
1,Medium,Adequate,None,49,0,2607.69
1,High,Adequate,None,160,0,10513.36
1,Low,Adequate,None,140,0,8473.68
0,Medium,Adequate,Minor,77,0,5118.44
1,Medium,Low,None,96,1,8771.71
0,Medium,Adequate,None,42,0,2780.44
1,High,Adequate,None,176,0,7355.54
3,Medium,Adequate,None,35,1,10293.49
3,Medium,Low,None,121,1,9686.3
2,High,Adequate,Minor,107,1,12270.17
3,Medium,Low,None,9,1,5472.14
2,Low,Low,None,94,1,11873.83
3,Medium,Low,Minor,5,1,7610.42
0,Low,Adequate,Minor,56,0,2831.75
3,Low,Adequate,None,128,0,8409.24
2,Medium,Low,None,70,1,6878.21
2,Medium,Adequate,None,20,0,919.49
1,High,Adequate,Major,91,1,9023.69
0,Medium,Adequate,None,126,0,6497.39
3,Medium,Low,Major,79,1,8935.86
1,Medium,Adequate,Minor,55,0,3457.19
3,Low,Adequate,None,115,0,6342.65
3,Medium,Low,None,147,1,16477.9
1,Low,Low,None,24,0,1295.0
1,High,Adequate,None,155,0,6470.81
1,Low,Adequate,None,4,0,191.47
1,Medium,Adequate,Minor,119,0,6316.77
1,Low,Adequate,Major,20,1,5197.47
3,High,Adequate,None,17,1,8429.99
1,Medium,Adequate,Minor,174,0,10962.95
0,Medium,Low,None,56,0,2690.72
2,Low,Adequate,None,92,0,5310.62
1,High,Adequate,None,18,0,1109.58
1,Low,Adequate,Minor,127,0,8666.27
3,High,Adequate,Major,96,1,12362.72
1,Low,Adequate,Minor,130,0,7209.25
1,Low,Low,None,169,0,10687.49
1,Low,Adequate,None,20,0,1137.29
3,Medium,Low,None,39,1,7755.45
1,Medium,Adequate,None,66,0,2867.19
2,Low,Low,Minor,152,1,11451.88
3,High,Low,Minor,126,1,12418.43
2,Medium,Adequate,Minor,54,1,7413.13
3,Medium,Low,None,179,1,13478.0
1,Medium,Adequate,None,171,0,10548.17
2,Medium,Adequate,None,108,0,4425.26
3,Medium,Low,None,97,1,10519.3
0,Low,Low,None,111,0,6235.52
1,Low,Adequate,Minor,114,0,7873.35
3,High,Low,Minor,116,1,12969.41
0,High,Adequate,None,86,0,3604.09
3,Medium,Adequate,None,80,1,8918.41
0,Low,Adequate,None,65,0,4240.14
1,Medium,Adequate,None,18,0,1258.3
2,Medium,Adequate,Minor,134,1,13105.05
0,Low,Adequate,None,117,0,5804.25
3,Low,Low,None,41,1,10224.05
1,High,Low,None,41,1,7524.27
0,Medium,Adequate,Major,58,1,9737.59
3,Low,Adequate,None,19,0,991.26
3,Low,Adequate,None,72,0,2968.74
3,Low,Adequate,None,16,0,806.7
0,Medium,Adequate,Minor,26,0,1246.88
0,Low,Adequate,Major,174,1,15116.06
0,Low,Adequate,None,1,0,68.46
2,High,Low,Major,62,1,8320.87
0,Low,Adequate,Major,61,1,9916.51
0,Medium,Adequate,Major,99,1,7279.27
0,Low,Adequate,Minor,18,0,1010.59
2,Low,Adequate,Minor,16,0,673.86
0,Low,Adequate,None,68,0,4625.43
3,High,Adequate,Minor,166,1,17931.93
0,High,Low,None,116,1,14842.93
3,High,Adequate,Minor,80,1,11362.59
3,Medium,Low,None,38,1,6066.36
3,Medium,Adequate,Minor,35,1,9946.64
2,Low,Low,Minor,167,1,15838.17
2,Low,Low,None,172,1,15419.98
2,High,Low,Minor,131,1,14880.96
0,Low,Adequate,None,152,0,6613.81
3,Low,Adequate,Minor,157,1,15426.24
2,Low,Low,None,28,1,7772.48
2,Low,Low,None,50,1,6890.44
0,Low,Adequate,Major,151,1,12280.73
2,Medium,Low,None,13,1,7204.27
0,Medium,Adequate,Minor,68,0,2740.5
1,High,Adequate,None,145,0,6647.56
2,High,Adequate,None,169,1,16161.05
1,Medium,Low,None,56,1,10756.61
0,Low,Adequate,None,11,0,566.59
3,Medium,Adequate,None,16,1,7804.65
2,Medium,Adequate,None,29,0,1781.79
0,Low,Low,None,87,0,5055.9
3,Medium,Adequate,None,98,1,8940.97
3,Medium,Low,Major,22,1,5521.2
1,Medium,Adequate,Major,128,1,10530.17
0,Medium,Adequate,None,78,0,5380.49
3,Low,Adequate,Minor,31,1,5727.29
2,High,Low,None,8,1,4456.84
2,High,Low,Minor,14,1,5847.5
1,Low,Adequate,Minor,155,0,7231.27
3,High,Low,Major,151,1,13097.94
0,Medium,Low,None,162,0,7457.71
2,High,Adequate,Minor,26,1,7538.86
3,High,Adequate,None,108,1,9336.0
3,Medium,Low,Major,75,1,10635.29
1,Low,Adequate,None,147,0,6253.82
2,Low,Low,Minor,64,1,8929.27
2,Medium,Adequate,Minor,176,1,17896.07
0,Medium,Low,Minor,108,1,11571.88
2,Low,Adequate,None,128,0,8401.34
0,Low,Adequate,Major,9,1,3743.01
2,High,Adequate,None,46,1,9109.26
1,High,Adequate,Minor,122,1,12986.08
2,Medium,Low,None,58,1,9974.65
0,Low,Adequate,None,95,0,6077.38
0,Low,Adequate,None,102,0,5635.95
1,Low,Adequate,None,123,0,5779.41
2,High,Low,None,85,1,10921.66
2,Low,Adequate,None,145,0,8963.16
1,Medium,Low,None,111,1,12987.56
2,Low,Adequate,Minor,173,0,7728.04
2,Medium,Adequate,Major,159,1,12925.77
0,Medium,Adequate,None,26,0,1205.2
2,High,Adequate,None,17,1,8090.96
2,Low,Adequate,None,166,0,7570.8
1,Low,Low,None,176,0,7391.96
1,Low,Low,Minor,81,1,10696.91
3,High,Low,Minor,171,1,14098.4
0,High,Low,None,71,1,8757.23
2,Medium,Low,None,53,1,8323.12
2,Medium,Low,None,161,1,17535.49
3,Medium,Adequate,Minor,70,1,8732.09
2,Low,Adequate,Major,163,1,17140.02
0,High,Low,None,145,1,14057.1
3,Medium,Adequate,None,37,1,5036.5
0,Medium,Low,Major,136,1,12719.6
3,Medium,Adequate,Major,178,1,11951.76
3,Low,Adequate,None,34,0,2042.7
1,Low,Adequate,None,81,0,5398.5
0,High,Adequate,None,132,0,7101.37
2,Low,Adequate,None,141,0,8207.5
2,Medium,Adequate,None,157,0,7167.83
0,Low,Adequate,None,3,0,192.45
2,Medium,Adequate,None,166,0,11457.29
2,Low,Adequate,None,152,0,7304.81
0,Medium,Low,Minor,155,1,13755.87
3,High,Adequate,None,149,1,9848.7
0,Low,Low,None,158,0,8970.31
3,Medium,Adequate,None,22,1,4367.71
2,Medium,Adequate,None,47,0,2083.66
2,Medium,Low,Major,147,1,11522.77
2,High,Adequate,None,124,1,9839.43
1,High,Adequate,None,165,0,9183.06
3,Low,Adequate,Minor,54,1,10910.09
1,Low,Adequate,None,67,0,2697.08
1,Low,Adequate,Major,87,1,12473.08
0,Medium,Low,None,0,0,0.0
1,Low,Adequate,None,134,0,6832.47
0,Medium,Low,None,94,0,3909.28
0,Medium,Adequate,None,139,0,8708.07
1,Medium,Low,Minor,105,1,12967.95
3,High,Adequate,Minor,132,1,12389.87
3,Low,Adequate,None,107,0,5318.51
3,Low,Low,None,177,1,15799.32
3,High,Adequate,Minor,41,1,6198.42
3,Medium,Adequate,Major,101,1,12337.44
1,Medium,Adequate,None,123,0,6234.36
1,Medium,Adequate,None,139,0,8466.54
2,Low,Adequate,None,102,0,5793.95
3,High,Adequate,Major,145,1,12726.73
1,High,Low,None,73,1,9693.67
2,Medium,Low,None,107,1,11262.32
3,Low,Adequate,Minor,121,1,9935.52
0,Medium,Adequate,None,16,0,677.68
2,Medium,Adequate,None,70,0,4650.64
1,Low,Adequate,None,61,0,2582.52
0,High,Adequate,None,40,0,2448.16
0,Low,Adequate,None,118,0,7976.94
0,High,Adequate,None,161,0,7747.4
2,Medium,Adequate,None,44,0,2249.05
1,Low,Adequate,None,57,0,3252.86
0,Medium,Adequate,Minor,178,0,11828.33
3,High,Adequate,Minor,125,1,12241.37
0,High,Adequate,None,161,0,10012.09
0,High,Low,None,43,1,5359.31
2,Medium,Low,None,14,1,7256.39
